,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Regex
210,12/10/2021,21:50,,,40.806835,-73.924355,"(40.806835, -73.924355)",MAJOR DEEGAN EXPRESSWAY,,,0.0,0,0,0,0,0,0,0,Other Vehicular,,,,,4485894,Station Wagon/Sport Utility Vehicle,,,,,12.806835.924355
211,11/27/2021,5:40,BROOKLYN,11234.0,40.627735,-73.920105,"(40.627735, -73.920105)",,,1100      EAST 58 STREET,0.0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4485637,Sedan,Station Wagon/Sport Utility Vehicle,,,,11.627735.920105
212,12/09/2021,5:15,,,0.0,0.0,"(0.0, 0.0)",ROCKAWAY BOULEVARD,VANWYCK EXPRESSWAY,,1.0,0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4484930,Sedan,Sedan,,,,12.0.0
213,12/08/2021,12:58,BROOKLYN,11225.0,40.661263,-73.955765,"(40.661263, -73.955765)",,,203       LINCOLN ROAD,0.0,0,0,0,0,0,0,0,Unspecified,,,,,4484996,Convertible,,,,,12.661263.955765
214,12/08/2021,17:50,,,40.844883,-73.907295,"(40.844883, -73.907295)",CROSS BRONX EXPY,,,0.0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,4484861,Tractor Truck Diesel,Sedan,Pick-up Truck,,,12.844883.907295
215,12/10/2021,4:30,QUEENS,11369.0,40.76104,-73.88162,"(40.76104, -73.88162)",,,30-27     87 STREET,0.0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4485177,Sedan,Station Wagon/Sport Utility Vehicle,,,,12.76104.88162
216,12/10/2021,21:22,,,40.669777,-73.9583,"(40.669777, -73.9583)",FRANKLIN AVENUE,,,1.0,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4485316,Station Wagon/Sport Utility Vehicle,,,,,12.669777.9583
217,12/10/2021,8:30,BRONX,10457.0,40.839443,-73.90436,"(40.839443, -73.90436)",,,425       CLAREMONT PARKWAY,0.0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4485668,Ambulance,Sedan,,,,12.839443.90436
218,12/10/2021,12:15,QUEENS,11101.0,40.75245,-73.94507,"(40.75245, -73.94507)",13 STREET,QUEENS PLAZA SOUTH,,0.0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4485385,Station Wagon/Sport Utility Vehicle,Tanker,,,,12.75245.94507
219,12/08/2021,14:38,BROOKLYN,11217.0,40.687748,-73.980125,"(40.687748, -73.980125)",,,25        FLATBUSH AVENUE,0.0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4484892,Station Wagon/Sport Utility Vehicle,Sedan,,,,12.687748.980125
220,12/03/2021,13:40,,,40.87356,-73.81853,"(40.87356, -73.81853)",HUTCHINSON RIVER PARKWAY,,,0.0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4485246,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,12.87356.81853
221,12/10/2021,8:50,BRONX,10455.0,40.8176,-73.90373,"(40.8176, -73.90373)",,,800       EAST 156 STREET,1.0,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,4485893,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,12.8176.90373
222,12/09/2021,19:45,BROOKLYN,11236.0,40.638428,-73.91275,"(40.638428, -73.91275)",GLENWOOD ROAD,EAST 83 STREET,,0.0,0,0,0,0,0,0,0,Unspecified,,,,,4485586,Sedan,,,,,12.638428.91275
223,12/10/2021,16:07,MANHATTAN,10027.0,40.813885,-73.95211,"(40.813885, -73.95211)",,,416       WEST 129 STREET,0.0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4485696,Sedan,AMBULANCE,,,,12.813885.95211
224,12/08/2021,6:37,,,,,,VERRAZANO BRIDGE UPPER,,,0.0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,Unspecified,,4485123,Sedan,Sedan,Sedan,Sedan,,12.0.0
225,12/10/2021,21:20,MANHATTAN,10028.0,40.77733,-73.95456,"(40.77733, -73.95456)",,,204       EAST 84 STREET,0.0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4485914,Station Wagon/Sport Utility Vehicle,Taxi,,,,12.77733.95456
226,12/10/2021,23:16,,,40.713135,-74.00407,"(40.713135, -74.00407)",CHAMBERS STREET,,,0.0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4485304,Station Wagon/Sport Utility Vehicle,Sedan,,,,12.713135.00407
227,12/09/2021,17:21,,,40.775486,-73.98217,"(40.775486, -73.98217)",BROADWAY,,,2.0,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4485055,Taxi,Sedan,,,,12.775486.98217
228,12/09/2021,7:30,BROOKLYN,11223.0,40.591137,-73.97752,"(40.591137, -73.97752)",BOYNTON PLACE,WEST 7 STREET,,0.0,0,0,0,0,0,0,0,Unspecified,,,,,4485539,Sedan,,,,,12.591137.97752
229,11/24/2021,23:58,,,40.865536,-73.92728,"(40.865536, -73.92728)",BROADWAY,,,1.0,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,4485241,,,,,,11.865536.92728
230,12/09/2021,17:00,MANHATTAN,10019.0,40.76551,-73.97795,"(40.76551, -73.97795)",,,140       WEST 58 STREET,1.0,0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,4485153,Taxi,Bike,,,,12.76551.97795
231,12/08/2021,8:15,BROOKLYN,11230.0,40.63311,-73.97217,"(40.63311, -73.97217)",OCEAN PARKWAY,18 AVENUE,,0.0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4484897,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,12.63311.97217
232,09/11/2021,2:20,,,40.823772,-73.87245,"(40.823772, -73.87245)",BRONX RIVER PARKWAY,,,1.0,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,4456035,Pick-up Truck,Convertible,,,,09.823772.87245
233,07/09/2021,12:00,,,40.84497,-73.90247,"(40.84497, -73.90247)",ITTNER PLACE,,,0.0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4456704,Station Wagon/Sport Utility Vehicle,Box Truck,,,,07.84497.90247
234,09/11/2021,15:25,,,,,,VERRAZANO BRIDGE UPPER,,,0.0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4456122,Sedan,Sedan,,,,09.0.0
235,09/10/2021,14:50,,,40.675507,-74.00075,"(40.675507, -74.00075)",BROOKLYN QUEENS EXPRESSWAY,,,0.0,0,0,0,0,0,0,0,Unspecified,,,,,4456919,Box Truck,,,,,09.675507.00075
236,07/01/2021,17:45,QUEENS,11691.0,40.609535,-73.75372,"(40.609535, -73.75372)",BEACH CHANNEL DRIVE,HORTON AVENUE,,0.0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4456686,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,07.609535.75372
237,07/07/2021,13:45,MANHATTAN,10014.0,40.730446,-74.00431,"(40.730446, -74.00431)",LEROY STREET,BEDFORD STREET,,0.0,0,0,0,0,0,0,0,Driver Inexperience,,,,,4456588,Station Wagon/Sport Utility Vehicle,,,,,07.730446.00431
238,09/11/2021,12:00,QUEENS,11432.0,40.721645,-73.8026,"(40.721645, -73.8026)",,,80-25     165 STREET,0.0,0,0,0,0,0,0,0,Unspecified,,,,,4456879,Station Wagon/Sport Utility Vehicle,,,,,09.721645.8026
239,07/07/2021,17:30,,,40.853477,-73.82622,"(40.853477, -73.82622)",BRUCKNER EXPRESSWAY,,,0.0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4456573,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,07.853477.82622
240,09/11/2021,2:55,QUEENS,11420.0,40.66901,-73.80265,"(40.66901, -73.80265)",135 PLACE,133 AVENUE,,0.0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4455749,Sedan,Sedan,,,,09.66901.80265
241,09/11/2021,17:15,STATEN ISLAND,10310.0,40.629475,-74.1123,"(40.629475, -74.1123)",,,694       FOREST AVENUE,1.0,0,1,0,0,0,0,0,Unspecified,,,,,4456087,Sedan,,,,,09.629475.1123
242,09/03/2021,17:14,BROOKLYN,11231.0,40.6843,-73.99724,"(40.6843, -73.99724)",CLINTON STREET,DE GRAW STREET,,0.0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4456941,Station Wagon/Sport Utility Vehicle,DL,,,,09.6843.99724
243,07/08/2021,12:30,,,40.767612,-73.950005,"(40.767612, -73.950005)",FDR DRIVE,,,0.0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4456691,Taxi,Pick-up Truck,,,,07.767612.950005
